project,issue_key,category,resolved,type,url,week
Address-Tracking,ATP-2350,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T09:42:07.118-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135947,3
Reconciliation,RECON-979,Feature - Product Enhancement,2025-01-22T09:05:25.891-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133292,4
Carrier Configurations,CFG-1001,"Unplanned (Bug, Incident, Inquiry)",2025-01-15T07:20:15.723-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137064,3
Reconciliation,RECON-1036,"Unplanned (Bug, Incident, Inquiry)",2025-01-08T09:06:29.078-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136072,2
Rating,RATE-1496,Carrier Compliance (Cc),2025-01-16T17:28:47.562-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136344,3
Rating,RATE-1580,Carrier Compliance (Cc),2025-01-17T09:41:24.635-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137349,3
Address-Tracking,ATP-2373,"Unplanned (Bug, Incident, Inquiry)",2025-01-24T06:02:31.957-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137008,4
Label Refund Manifest,LABEL-2058,Level of Effort (LoE),2024-12-30T06:10:15.076-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135300,1
Rating,RATE-1583,"Unplanned (Bug, Incident, Inquiry)",2025-01-17T13:14:14.365-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137377,3
Address-Tracking,ATP-2330,Partner Commitment (Pc),2025-01-21T10:53:07.503-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135521,4
Reconciliation,RECON-1056,Technical Investment (Tech Inv),2025-01-23T09:37:01.489-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136411,4
Label Refund Manifest,LABEL-2210,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T06:43:28.763-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136678,3
Label Refund Manifest,LABEL-1923,Carrier Compliance (Cc),2025-01-15T08:56:39.511-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134036,3
Carrier Configurations,CFG-928,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T16:47:27.152-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134872,2
Reconciliation,RECON-1050,Technical Investment (Tech Inv),2025-01-17T10:48:26.538-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136403,3
Carrier Configurations,CFG-973,Technical Investment (Tech Inv),2025-01-02T06:22:28.623-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135637,1
Rating,RATE-1458,Team Management (TM),2025-01-08T14:58:33.319-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136034,2
Core Enablement,CET-491,Technical Investment (Tech Inv),2025-01-17T03:59:08.693-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136470,3
Carrier Configurations,CFG-946,Carrier Compliance (Cc),2025-01-21T16:50:23.844-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135155,4
Carrier Configurations,CFG-1006,"Unplanned (Bug, Incident, Inquiry)",2025-01-17T08:06:05.218-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137218,3
Address-Tracking,ATP-2358,"Unplanned (Bug, Incident, Inquiry)",2025-01-10T03:26:09.490-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136537,2
Rating,RATE-1327,Team Management (TM),2025-01-21T14:00:31.578-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134356,4
Core Enablement,CET-520,Technical Investment (Tech Inv),2025-01-17T03:59:14.956-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136992,3
Rating,RATE-1581,Technical Investment (Tech Inv),2025-01-17T09:44:38.222-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137350,3
Carrier Configurations,CFG-883,Carrier Compliance (Cc),2025-01-08T06:48:33.496-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/133767,2
Core Enablement,CET-484,Technical Investment (Tech Inv),2025-01-09T12:54:48.615-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136045,2
Core Enablement,CET-522,Technical Investment (Tech Inv),2025-01-24T04:39:58.796-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137111,4
Rating,RATE-1572,Carrier Compliance (Cc),2025-01-17T09:04:01.728-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/137216,3
Rating,RATE-1487,Carrier Compliance (Cc),2025-01-16T16:00:34.341-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136322,3
Rating,RATE-1507,Carrier Compliance (Cc),2025-01-17T12:33:04.200-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136447,3
Address-Tracking,ATP-2344,"Unplanned (Bug, Incident, Inquiry)",2025-01-02T09:14:53.629-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135749,1
Address-Tracking,ATP-2306,Technical Investment (Tech Inv),2025-01-10T08:03:21.752-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134883,2
Rating,RATE-1561,Carrier Compliance (Cc),2025-01-15T13:51:59.822-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137152,3
Rating,RATE-1454,Technical Investment (Tech Inv),2025-01-14T12:08:14.534-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135978,3
Label Refund Manifest,LABEL-2113,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T13:13:22.217-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135159,2
Rating,RATE-1532,Carrier Compliance (Cc),2025-01-17T15:40:37.713-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136735,3
Core Enablement,CET-516,Technical Investment (Tech Inv),2025-01-15T08:34:36.389-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136744,3
Core Enablement,CET-518,"Unplanned (Bug, Incident, Inquiry)",2025-01-10T11:09:45.480-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136790,2
Label Refund Manifest,LABEL-2060,Level of Effort (LoE),2025-01-06T04:03:03.222-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135303,2
Rating,RATE-1400,Level of Effort (LoE),2025-01-09T05:30:59.492-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135272,2
Rating,RATE-1541,Carrier Compliance (Cc),2025-01-17T16:41:34.193-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136840,3
Rating,RATE-1497,Carrier Compliance (Cc),2025-01-16T21:43:09.018-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136347,3
Rating,RATE-1512,Carrier Compliance (Cc),2025-01-10T14:57:06.255-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136531,2
Rating,RATE-1631,"Unplanned (Bug, Incident, Inquiry)",2025-01-25T09:00:51.126-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/138011,4
Rating,RATE-1573,Carrier Compliance (Cc),2025-01-17T11:49:08.353-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137233,3
Core Enablement,CET-527,"Unplanned (Bug, Incident, Inquiry)",2025-01-24T07:07:34.205-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137930,4
Reconciliation,RECON-1029,"Unplanned (Bug, Incident, Inquiry)",2025-01-07T09:04:51.924-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135705,2
Rating,RATE-1463,Carrier Compliance (Cc),2025-01-17T11:48:58.508-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136074,3
Carrier Configurations,CFG-991,"Unplanned (Bug, Incident, Inquiry)",2025-01-23T08:43:37.814-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136330,4
Address-Tracking,ATP-2369,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T09:42:55.523-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136864,3
Rating,RATE-1619,Carrier Compliance (Cc),2025-01-24T13:46:53.055-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137881,4
Address-Tracking,ATP-2359,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T09:45:52.050-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136545,3
Rating,RATE-1521,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T11:13:52.635-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136644,2
Label Refund Manifest,LABEL-2165,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T13:13:49.078-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136184,2
Label Refund Manifest,LABEL-1997,"Unplanned (Bug, Incident, Inquiry)",2024-12-31T04:58:15.000-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134737,1
Reconciliation,RECON-986,Technical Investment (Tech Inv),2025-01-21T07:26:24.134-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133663,4
Reconciliation,RECON-738,Team Management (TM),2025-01-10T12:23:42.947-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/127058,2
Address-Tracking,ATP-2292,"Unplanned (Bug, Incident, Inquiry)",2025-01-07T10:31:39.110-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134708,2
Core Enablement,CET-504,Technical Investment (Tech Inv),2025-01-24T04:38:43.100-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136492,4
Reconciliation,RECON-1048,Technical Investment (Tech Inv),2025-01-16T12:49:47.120-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136401,3
Label Refund Manifest,LABEL-1833,Technical Investment (Tech Inv),2025-01-10T11:44:57.297-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133264,2
Rating,RATE-1510,Technical Investment (Tech Inv),2025-01-15T07:55:49.978-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136515,3
Rating,RATE-1498,Carrier Compliance (Cc),2025-01-17T13:16:46.978-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136391,3
Label Refund Manifest,LABEL-1722,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T14:58:02.211-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/132292,2
Reconciliation,RECON-977,Feature - Product Enhancement,2025-01-07T09:09:08.895-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133290,2
Rating,RATE-1505,Carrier Compliance (Cc),2025-01-17T14:10:19.702-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136444,3
Rating,RATE-1471,Carrier Compliance (Cc),2025-01-17T16:02:52.208-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136143,3
Rating,RATE-1467,Carrier Compliance (Cc),2025-01-03T10:49:36.192-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136100,1
Rating,RATE-1524,Carrier Compliance (Cc),2025-01-17T12:45:53.885-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136687,3
Rating,RATE-1440,Team Management (TM),2025-01-21T13:12:30.762-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/135790,4
Address-Tracking,ATP-2402,Partner Commitment (Pc),2025-01-23T11:07:03.983-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137409,4
Carrier Configurations,CFG-992,Carrier Compliance (Cc),2025-01-16T06:06:24.345-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136373,3
Address-Tracking,ATP-2362,"Unplanned (Bug, Incident, Inquiry)",2025-01-15T05:08:37.491-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136772,3
Rating,RATE-1534,Team Management (TM),2025-01-11T16:55:28.850-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136751,2
Reconciliation,RECON-843,Team Management (TM),2025-01-10T12:23:15.931-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/129655,2
Address-Tracking,ATP-2340,Team Management (TM),2025-01-03T07:34:53.510-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/135712,1
Address-Tracking,ATP-2338,Team Management (TM),2025-01-03T07:33:13.297-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/135710,1
Carrier Configurations,CFG-998,Carrier Compliance (Cc),2025-01-21T05:37:38.032-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136894,4
Label Refund Manifest,LABEL-2008,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T13:12:15.326-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134823,2
Rating,RATE-1444,"Unplanned (Bug, Incident, Inquiry)",2025-01-03T08:46:03.239-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135922,1
Rating,RATE-1509,Carrier Compliance (Cc),2025-01-17T12:32:58.799-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136449,3
Label Refund Manifest,LABEL-2153,Technical Investment (Tech Inv),2025-01-17T05:45:45.266-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135999,3
Rating,RATE-1508,Carrier Compliance (Cc),2025-01-17T15:27:36.315-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136448,3
Rating,RATE-1489,Carrier Compliance (Cc),2025-01-17T16:06:01.832-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136324,3
Reconciliation,RECON-958,Feature - Product Enhancement,2025-01-09T09:05:20.719-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133203,2
Address-Tracking,ATP-2343,"Unplanned (Bug, Incident, Inquiry)",2025-01-06T07:49:12.940-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135721,2
Label Refund Manifest,LABEL-2110,Technical Investment (Tech Inv),2025-01-10T08:33:28.796-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135763,2
Address-Tracking,ATP-2354,Team Management (TM),2025-01-17T09:32:26.642-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136454,3
Core Enablement,CET-489,Technical Investment (Tech Inv),2025-01-14T03:39:27.889-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136468,3
Rating,RATE-1542,"Unplanned (Bug, Incident, Inquiry)",2025-01-22T07:45:37.258-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136866,4
Reconciliation,RECON-1076,Technical Investment (Tech Inv),2025-01-16T08:45:13.844-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137016,3
Reconciliation,RECON-696,Level of Effort (LoE),2025-01-15T07:50:43.775-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/126392,3
Address-Tracking,ATP-2297,Partner Commitment (Pc),2025-01-08T07:32:27.121-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134752,2
Rating,RATE-1500,Carrier Compliance (Cc),2025-01-16T18:01:38.992-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136394,3
Carrier Configurations,CFG-994,Carrier Compliance (Cc),2025-01-23T10:02:55.354-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136450,4
Rating,RATE-1362,"Unplanned (Bug, Incident, Inquiry)",2025-01-08T10:04:34.656-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134805,2
Reconciliation,RECON-1098,Technical Investment (Tech Inv),2025-01-23T15:12:47.853-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137725,4
Carrier Configurations,CFG-1015,"Unplanned (Bug, Incident, Inquiry)",2025-01-23T09:56:26.657-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137526,4
Carrier Configurations,CFG-898,Carrier Compliance (Cc),2025-01-06T10:14:34.171-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134083,2
Rating,RATE-1492,Carrier Compliance (Cc),2025-01-16T16:50:04.000-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136327,3
Label Refund Manifest,LABEL-2195,Carrier Compliance (Cc),2025-01-22T09:13:00.769-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136464,4
Label Refund Manifest,LABEL-2198,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T13:01:17.421-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136513,3
Rating,RATE-1447,Carrier Compliance (Cc),2025-01-02T14:05:39.222-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135952,1
Rating,RATE-1419,Carrier Compliance (Cc),2025-01-02T10:21:11.807-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135441,1
Rating,RATE-1501,Carrier Compliance (Cc),2025-01-16T17:48:16.568-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136395,3
Rating,RATE-1036,"Unplanned (Bug, Incident, Inquiry)",2025-01-07T06:40:25.565-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/130668,2
Rating,RATE-1485,Carrier Compliance (Cc),2025-01-16T16:31:38.730-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136295,3
Rating,RATE-1576,Carrier Compliance (Cc),2025-01-16T13:02:52.680-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137266,3
Reconciliation,RECON-1051,Technical Investment (Tech Inv),2025-01-17T10:48:23.443-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136404,3
Address-Tracking,ATP-2327,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:36:09.430-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135457,4
Label Refund Manifest,LABEL-1929,Carrier Compliance (Cc),2025-01-15T08:56:40.309-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134069,3
Rating,RATE-1523,Carrier Compliance (Cc),2025-01-16T21:28:58.503-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136686,3
Rating,RATE-1504,Carrier Compliance (Cc),2025-01-17T13:52:23.063-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136443,3
Label Refund Manifest,LABEL-2271,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T10:45:58.773-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137200,3
Carrier Configurations,CFG-1004,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T04:39:30.453-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137194,3
Core Enablement,CET-503,Technical Investment (Tech Inv),2025-01-23T16:49:10.271-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136491,4
Core Enablement,CET-481,Technical Investment (Tech Inv),2025-01-10T05:31:18.261-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135686,2
Rating,RATE-1601,Level of Effort (LoE),2025-01-22T14:10:12.268-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137752,4
Rating,RATE-1225,"Unplanned (Bug, Incident, Inquiry)",2025-01-02T14:52:00.200-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/133135,1
Address-Tracking,ATP-2310,"Unplanned (Bug, Incident, Inquiry)",2025-01-02T09:16:31.072-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135018,1
Reconciliation,RECON-1034,"Unplanned (Bug, Incident, Inquiry)",2025-01-06T14:15:27.336-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135820,2
Carrier Configurations,CFG-943,Carrier Compliance (Cc),2025-01-17T05:53:28.644-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/135125,3
Reconciliation,RECON-823,Team Management (TM),2025-01-10T12:23:52.737-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/129188,2
Label Refund Manifest,LABEL-2081,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T13:11:27.168-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135584,2
Carrier Configurations,CFG-988,Partner Commitment (Pc),2025-01-23T13:50:38.535-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136245,4
Rating,RATE-1449,"Unplanned (Bug, Incident, Inquiry)",2025-01-06T14:58:57.247-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135966,2
Rating,RATE-1519,Carrier Compliance (Cc),2025-01-09T13:31:51.225-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136640,2
Carrier Configurations,CFG-986,Carrier Compliance (Cc),2025-01-10T04:12:16.690-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136219,2
Core Enablement,CET-437,Technical Investment (Tech Inv),2025-01-10T05:37:56.506-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133870,2
Carrier Configurations,CFG-761,Technical Investment (Tech Inv),2025-01-07T07:49:19.333-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/131473,2
Carrier Configurations,CFG-966,Technical Investment (Tech Inv),2025-01-02T06:22:24.127-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135488,1
