project,issue_key,category,resolved,type,url,week
Rating,RATE-1334,Team Management (TM),2025-01-17T06:47:59.525-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134489,3
Rating,RATE-1345,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T05:32:47.819-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134635,2
Rating,RATE-1493,Carrier Compliance (Cc),2025-01-17T16:00:46.611-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136328,3
Carrier Configurations,CFG-974,Technical Investment (Tech Inv),2025-01-02T06:22:30.589-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135640,1
Carrier Configurations,CFG-929,Carrier Compliance (Cc),2025-01-10T04:12:11.626-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134891,2
Rating,RATE-1560,Carrier Compliance (Cc),2025-01-16T11:10:47.138-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137145,3
Address-Tracking,ATP-2372,Partner Commitment (Pc),2025-01-24T07:10:34.599-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136989,4
Rating,RATE-1553,Carrier Compliance (Cc),2025-01-17T09:37:05.840-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137030,3
Reconciliation,RECON-1052,"Unplanned (Bug, Incident, Inquiry)",2025-01-24T14:15:56.159-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136406,4
Address-Tracking,ATP-1584,Carrier Compliance (Cc),2025-01-16T09:43:07.468-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/121563,3
Rating,RATE-1559,Carrier Compliance (Cc),2025-01-15T15:38:33.665-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137139,3
Rating,RATE-1620,Carrier Compliance (Cc),2025-01-24T12:03:20.794-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137887,4
Carrier Configurations,CFG-1003,Carrier Compliance (Cc),2025-01-23T10:02:39.957-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/137156,4
Label Refund Manifest,LABEL-2233,"Unplanned (Bug, Incident, Inquiry)",2025-01-15T08:56:50.390-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136878,3
Address-Tracking,ATP-2356,Team Management (TM),2025-01-17T09:32:48.007-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136456,3
Carrier Configurations,CFG-987,Carrier Compliance (Cc),2025-01-14T05:51:13.298-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136237,3
Label Refund Manifest,LABEL-2160,"Unplanned (Bug, Incident, Inquiry)",2025-01-05T21:45:44.691-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136076,2
Rating,RATE-1527,Carrier Compliance (Cc),2025-01-16T17:41:02.405-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136728,3
Rating,RATE-1503,Carrier Compliance (Cc),2025-01-17T11:58:03.908-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136442,3
Rating,RATE-1477,Carrier Compliance (Cc),2025-01-17T14:43:36.270-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136220,3
Rating,RATE-1575,"Unplanned (Bug, Incident, Inquiry)",2025-01-22T10:16:26.463-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137257,4
Rating,RATE-1545,"Unplanned (Bug, Incident, Inquiry)",2025-01-13T13:43:42.569-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136962,3
Rating,RATE-1517,"Unplanned (Bug, Incident, Inquiry)",2025-01-10T10:26:30.995-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136617,2
Rating,RATE-1624,Team Management (TM),2025-01-24T07:54:42.114-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137924,4
Carrier Configurations,CFG-939,"Unplanned (Bug, Incident, Inquiry)",2025-01-03T14:26:18.801-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135059,1
Address-Tracking,ATP-2353,Technical Investment (Tech Inv),2025-01-21T11:24:17.583-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136438,4
Address-Tracking,ATP-2366,Team Management (TM),2025-01-17T09:33:09.894-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136816,3
Rating,RATE-1531,Carrier Compliance (Cc),2025-01-17T15:34:15.562-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136734,3
Carrier Configurations,CFG-996,Carrier Compliance (Cc),2025-01-21T05:37:33.701-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/136600,4
Address-Tracking,ATP-2049,Carrier Compliance (Cc),2025-01-10T03:18:52.016-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/130548,2
Label Refund Manifest,LABEL-2267,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T10:45:52.648-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137166,3
Reconciliation,RECON-1078,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T09:08:28.324-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137050,3
Carrier Configurations,CFG-967,Technical Investment (Tech Inv),2025-01-02T14:10:53.683-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135490,1
Label Refund Manifest,LABEL-2105,"Unplanned (Bug, Incident, Inquiry)",2025-01-03T10:03:36.292-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135736,1
Label Refund Manifest,LABEL-2023,"Unplanned (Bug, Incident, Inquiry)",2024-12-30T10:45:55.781-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134923,1
Rating,RATE-1466,Carrier Compliance (Cc),2025-01-03T10:22:50.836-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136078,1
Rating,RATE-648,Carrier Compliance (Cc),2025-01-06T06:28:35.795-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/119942,2
Address-Tracking,ATP-2386,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:26:26.827-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137106,4
Carrier Configurations,CFG-1013,"Unplanned (Bug, Incident, Inquiry)",2025-01-24T06:28:49.869-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137444,4
Carrier Configurations,CFG-1016,Carrier Compliance (Cc),2025-01-24T06:23:47.061-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/137570,4
Rating,RATE-1578,Carrier Compliance (Cc),2025-01-17T13:31:09.254-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137285,3
Rating,RATE-1488,Carrier Compliance (Cc),2025-01-16T14:56:38.273-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136323,3
Rating,RATE-1474,Team Management (TM),2025-01-06T02:01:40.600-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136212,2
Rating,RATE-1582,"Unplanned (Bug, Incident, Inquiry)",2025-01-17T10:47:44.848-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137362,3
Label Refund Manifest,LABEL-1812,Carrier Compliance (Cc),2025-01-24T09:08:14.486-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133008,4
Label Refund Manifest,LABEL-2154,"Unplanned (Bug, Incident, Inquiry)",2025-01-13T03:50:46.173-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136004,3
Address-Tracking,ATP-1086,Carrier Compliance (Cc),2025-01-05T10:22:57.025-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/113294,1
Rating,RATE-649,Carrier Compliance (Cc),2025-01-24T06:35:50.869-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/119943,4
Rating,RATE-1589,Technical Investment (Tech Inv),2025-01-23T10:47:49.961-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137571,4
Address-Tracking,ATP-2361,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T12:48:11.680-0800,Unplanned,https://shippo.atlassian.net/rest/api/2/issue/136733,4
Label Refund Manifest,LABEL-2324,Technical Investment (Tech Inv),2025-01-24T09:09:07.097-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137712,4
Address-Tracking,ATP-2201,Team Management (TM),2025-01-21T09:21:53.608-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/132994,4
Label Refund Manifest,LABEL-1874,"Unplanned (Bug, Incident, Inquiry)",2025-01-03T05:08:29.105-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/133550,1
Address-Tracking,ATP-2316,"Unplanned (Bug, Incident, Inquiry)",2025-01-06T07:58:17.274-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135166,2
Reconciliation,RECON-1005,Feature - Product Enhancement,2025-01-24T10:46:04.432-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134646,4
Rating,RATE-1587,Carrier Compliance (Cc),2025-01-17T16:57:04.928-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/137395,3
Rating,RATE-1443,Carrier Compliance (Cc),2025-01-03T10:22:17.477-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135861,1
Address-Tracking,ATP-2371,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T09:42:23.443-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136987,3
Rating,RATE-1475,Carrier Compliance (Cc),2025-01-17T16:06:35.917-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136217,3
Rating,RATE-1490,Carrier Compliance (Cc),2025-01-16T16:25:08.534-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136325,3
Reconciliation,RECON-964,Feature - Product Enhancement,2025-01-06T09:08:12.619-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133210,2
Rating,RATE-1468,Carrier Compliance (Cc),2025-01-03T10:50:39.397-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136105,1
Reconciliation,RECON-1095,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T12:04:35.499-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137572,4
